# TOPAS Version: 4.0
# Parameter File: GBScanningNozzle.txt
# Results for scorer: DoseOnRTGrid
# Filtered by: OnlyIncludeParticlesNamed = 1 "proton"
# Scored in component: ScoringCylinder
# R in 1 bin  of 0.495 cm
# Phi in 1 bin  of 360 deg
# Z in 583 bins of 0.0600343 cm
# DoseToMedium ( Gy ) : Mean   
LX,LY,LZ,DoseToWater (Gy)
0, 0, 259, 5.683362107831196e-11
0, 0, 260, 5.705780168447463e-11
0, 0, 261, 5.573886405208015e-11
0, 0, 262, 5.550220833891253e-11
0, 0, 263, 5.597334386194731e-11
0, 0, 264, 5.538678204814978e-11
0, 0, 265, 5.968503808290016e-11
0, 0, 266, 5.48244403218453e-11
0, 0, 267, 5.45119872298706e-11
0, 0, 268, 5.485988368373161e-11
0, 0, 269, 5.475806371532959e-11
0, 0, 270, 5.296710856815654e-11
0, 0, 271, 5.330634638474062e-11
0, 0, 272, 5.231545990539149e-11
0, 0, 273, 5.254122838406155e-11
0, 0, 274, 5.241919623591e-11
0, 0, 275, 5.289107316886931e-11
0, 0, 276, 5.260818497169547e-11
0, 0, 277, 5.240093241080651e-11
0, 0, 278, 5.200419926967927e-11
0, 0, 279, 5.09419529849133e-11
0, 0, 280, 5.189982229599727e-11
0, 0, 281, 5.120273616441882e-11
0, 0, 282, 5.155987562495905e-11
0, 0, 283, 6.049809937974116e-11
0, 0, 284, 5.363025042455781e-11
0, 0, 285, 5.313623380388765e-11
0, 0, 286, 5.286922252636979e-11
0, 0, 287, 5.200502720658935e-11
0, 0, 288, 5.714500123112316e-11
0, 0, 289, 5.584491013707169e-11
0, 0, 290, 5.340654302423498e-11
0, 0, 291, 5.251832005208605e-11
0, 0, 292, 5.259679434615209e-11
0, 0, 293, 5.30093845319015e-11
0, 0, 294, 5.177636009052555e-11
0, 0, 295, 5.268237990382565e-11
0, 0, 296, 5.264837774603101e-11
0, 0, 297, 5.487235864704465e-11
0, 0, 298, 5.469388440652326e-11
0, 0, 299, 5.716817423883163e-11
0, 0, 300, 5.589559464664106e-11
0, 0, 301, 5.755808258051065e-11
0, 0, 302, 5.453654304597438e-11
